ColName,ScreenableValues
CIGEVER,1:2
CIGOFRSM,1:4
CIGWILYR,1:4
CIGTRY,1:65
CIG30USE,1:30
CG30EST,1:6
CIG30AV,1:7
CIG30MEN,1:2
CIG30RO2,1:2
CIGDLYMO,1:2
CIGAGE,2:130
CIG100LF,1:2
SMKLSSEVR,1:2
SMKLSSTRY,1:2
SMKLSSREC,1:4
SMKLSS30N,1:30
CIGAREVR,1:2
CIGARTRY,1:73
CIGARREC,1:4
CGR30USE,1:30
PIPEVER,1:2
PIPE30DY,1:2
ALCEVER,1:2
ALCTRY,1:78
ALCREC,1:3
ALCYRTOT,1:365
ALDAYPYR,1:366
ALDAYPMO,1:31
ALDAYPWK,1:7
ALCDAYS,1:30
AL30EST,1:6
ALCUS30D,1:90
ALCBNG30D,0:30
MJEVER,1:2
MJAGE,1:130
MJREC,1:3
MJYRTOT,1:365
MRDAYPYR,1:366
MRDAYPMO,1:31
MRDAYPWK,1:7
MJDAY30A,1:30
MR30EST,1:6
COCEVER,1:2
COCAGE,1:130
COCYRTOT,1:365
CCDAYPYR,1:365
CCDAYPMO,1:31
CCDAYPWK,1:7
COCUS30A,1:30
CRKEVER,1:2
CRKAGE,1:130
CRAKREC,1:3
CRKYRTOT,1:365
CRDAYPYR,1:365
CRDAYPMO,1:31
CRDAYPWK,1:7
CRKUS30A,1:30
HEREVER,1:2
HERAGE,1:130
HERREC,1:3
HERYRTOT,1:365
HRDAYPYR,1:365
HRDAYPMO,1:31
HRDAYPWK,1:7
HER30USE,1:30
LSD,1:2
PCP,1:2
PEYOTE,1:2
MESC,1:2
PSILCY,1:2
ECSTMOLLY,1:2
KETMINESK,1:2
DMTAMTFXY,1:2
SALVIADIV,1:2
HALLUCOTH,1:2
HALLUCAGE,1:130
HALLUCREC,1:3
HALLUCYFQ,1:365
HALLDYSYR,1:365
HALLDYPMO,1:31
HALLDYPWK,1:7
HALLUC30N,1:30
LSDAGE,1:130
LSDREC,1:3
PCPAGE,1:130
ECSTMOREC,1:3
KETMINREC,1:3
DAMTFXREC,1:3
SALVIAREC,1:3
AMYLNIT,1:2
CLEFLU,1:2
GAS,1:2
GLUE,1:2
ETHER,1:2
SOLVENT,1:2
LGAS,1:2
NITOXID,1:2
FELTMARKR,1:2
SPPAINT,1:2
AIRDUSTER,1:2
OTHAEROS,1:2
INHALOTH,1:2
INHALAGE,1:130
INHALREC,1:3
INHALYFQ,1:365
INHDYSYR,1:365
INHDYPMO,1:31
INHDYPWK,1:7
INHAL30N,1:30
METHAMEVR,1:2
METHAMAGE,1:72
METHAMREC,1:3
METHAMYFQ,1:365
METHDYSYR,1:365
METHDYPMO,1:31
METHDYPWK,1:7
METHAM30N,1:30
OXCNANYYR,1:2
PNRANYLIF,1:2
PNRANYREC,1:2
TRQANYLIF,1:2
TRQANYREC,1:2
STMANYLIF,1:2
STMANYREC,1:2
SEDANYLIF,1:2
SEDANYREC,1:2
PNRNMLIF,1:2
OXCNNMYR,1:2
OXCNNMAGE,1:130
PNRNMREC,1:3
PNRNMINIT,1:2
PNRNMAGE,1:130
PNRNM30D,1:30
PNRNM30FQ,1:30
PNRNM30AL,1:2
PNRWYNORX,1:2
